Article_number;Stock;Stock_BE;ETA;ETA_Confirmed;Status;Classe_comm;last_update
10519/81/30;0;38;15/08/2026;06/07/2026;;Neutral;28.05.2026
10519/81/33;0;36;;06/07/2026;;Neutral;28.05.2026
10519/81/44;0;73;;;;Neutral;28.05.2026
10519/81/53;0;47;15/08/2026;;;Neutral;28.05.2026
10523/01/02;0;134;;;;Competitive;28.05.2026
10523/01/30;0;253;;;;Competitive;28.05.2026
10525/01/41;0;97;15/08/2026;;;Neutral;28.05.2026
10525/01/53;0;59;15/08/2026;06/07/2026;;Neutral;28.05.2026
10525/30/41;0;49;;;;Neutral;28.05.2026
10525/30/53;0;46;;;;Neutral;28.05.2026
10526/01/70;0;53;;;;Neutral;28.05.2026
10527/01/10;0;106;;;;Essential;28.05.2026
10527/01/14;0;107;;;;Essential;28.05.2026
10527/01/35;0;109;;;;Essential;28.05.2026
10527/01/66;0;104;;;;Essential;28.05.2026
10550/81/30;0;62;;;;Premium;28.05.2026
10550/81/43;0;43;;;;Premium;28.05.2026
10550/81/73;0;77;;;;Premium;28.05.2026
10551/81/73;0;55;;;;Premium;28.05.2026
10552/81/73;0;51;;;;Premium;28.05.2026
10553/81/73;0;31;;;;Premium;28.05.2026
10702/81/30;0;105;;;;Competitive;28.05.2026
10706/81/02;0;54;;;;Competitive;28.05.2026
10713/28/72;0;143;;;;Competitive;28.05.2026
10719/81/30;0;57;;;;Neutral;28.05.2026
10719/81/33;0;53;;;;Neutral;28.05.2026
10719/81/44;0;50;;;;Neutral;28.05.2026
10719/81/53;0;52;;;;Neutral;28.05.2026
10723/01/02;0;33;;;;Competitive;28.05.2026
10723/01/30;0;105;;;;Competitive;28.05.2026
10725/01/41;0;31;;06/07/2026;;Neutral;28.05.2026
10725/01/53;0;91;;;;Neutral;28.05.2026
11800/01/30;0;125;;;;Competitive;28.05.2026
11801/01/30;1;79;;29/06/2026;;Competitive;28.05.2026
11811/01/06;0;0;;;Liquidation;Competitive;28.05.2026
11811/01/30;0;226;;04/06/2026;;Competitive;28.05.2026
11812/01/30;0;205;;;;Competitive;28.05.2026
11812/01/31;0;500;;;;Competitive;28.05.2026
11839/01/30;0;78;;;;Essential;28.05.2026
11839/02/30;0;78;;;;Essential;28.05.2026
11840/01/30;0;73;;;;Essential;28.05.2026
11840/02/30;0;70;;;;Essential;28.05.2026
11841/01/30;0;18;30/09/2026;;;Essential;28.05.2026
11870/01/97;0;14;;;;Competitive;28.05.2026
11871/01/30;0;92;;06/07/2026;;Competitive;28.05.2026
11871/01/97;0;119;;;;Competitive;28.05.2026
11872/01/30;0;164;;;;Competitive;28.05.2026
11872/01/97;0;78;;;;Competitive;28.05.2026
11873/01/30;0;82;;04/06/2026;;Competitive;28.05.2026
11873/01/97;0;88;;;;Competitive;28.05.2026
11874/01/12;3;0;;;Dropped out;;28.05.2026
11891/20/02;0;101;;29/06/2026;;Competitive;28.05.2026
11891/20/30;0;117;;;;Competitive;28.05.2026
11903/05/30;8;0;;;Liquidation;Competitive;28.05.2026
11903/05/31;0;171;;;;Competitive;28.05.2026
11903/10/30;4;0;;;Liquidation;Competitive;28.05.2026
11903/10/31;0;42;;;;Competitive;28.05.2026
11903/15/30;0;236;;;;Competitive;28.05.2026
11903/20/31;1;0;;;Dropped out;;28.05.2026
12200/60/30;0;64;;;;Neutral;28.05.2026
12200/90/30;0;45;15/09/2026;;;Neutral;28.05.2026
12201/60/30;0;47;15/09/2026;;;Neutral;28.05.2026
12201/90/30;0;63;;;;Neutral;28.05.2026
12219/02/02;0;159;;;;Competitive;28.05.2026
12219/02/30;0;385;;;;Competitive;28.05.2026
12219/02/31;0;215;;;;Competitive;28.05.2026
12222/02/30;0;70;;22/06/2026;;Competitive;28.05.2026
12561/21/12;1;70;31/08/2026;;;Competitive;28.05.2026
13135/01/31;0;310;;;;Neutral;28.05.2026
13294/04/62;0;0;;;New Phase 1;Premium;28.05.2026
13435/01/31;0;266;;;;Neutral;28.05.2026
13435/03/31;1;98;;;;Neutral;28.05.2026
13451/03/31;0;6;;13/07/2026;;Neutral;28.05.2026
13451/25/31;0;47;;;;Neutral;28.05.2026
13452/01/31;0;69;31/08/2026;;;Neutral;28.05.2026
13452/04/31;0;165;31/08/2026;;;Competitive;28.05.2026
13452/08/31;0;38;;;;Neutral;28.05.2026
13493/68/38;0;35;;;;Premium;28.05.2026
13493/68/96;0;29;;;;Premium;28.05.2026
13494/04/60;0;241;;;;Premium;28.05.2026
13494/04/62;0;49;06/07/2026;22/06/2026;;Premium;28.05.2026
13494/10/62;0;0;31/08/2026;;New Phase 1;Premium;28.05.2026
13494/11/60;0;37;;;;Premium;28.05.2026
13494/11/62;0;56;;06/07/2026;;Premium;28.05.2026
13494/18/60;0;107;;;;Premium;28.05.2026
13494/18/62;0;64;31/07/2026;06/07/2026;;Premium;28.05.2026
13494/19/62;0;0;31/08/2026;;New Phase 1;Premium;28.05.2026
13494/27/62;0;0;;;New Phase 1;Premium;28.05.2026
13494/29/60;0;98;;;;Premium;28.05.2026
13494/29/62;0;65;22/06/2026;04/06/2026;;Premium;28.05.2026
13494/41/62;0;0;;;New Phase 1;Premium;28.05.2026
13494/44/60;0;40;;;;Premium;28.05.2026
13494/44/62;0;29;06/07/2026;22/06/2026;;Premium;28.05.2026
13496/07/02;0;41;;06/07/2026;;Neutral;28.05.2026
13496/07/30;0;49;;;;Neutral;28.05.2026
13496/21/02;0;40;;;;Neutral;28.05.2026
13496/21/30;0;50;;;;Neutral;28.05.2026
13496/35/02;0;34;;;;Neutral;28.05.2026
13496/35/30;0;48;;;;Neutral;28.05.2026
13496/36/02;0;33;;;;Neutral;28.05.2026
13496/36/30;0;32;;;;Neutral;28.05.2026
13498/24/30;0;46;;;;Neutral;28.05.2026
13498/25/30;0;35;;;Liquidation;Neutral;28.05.2026
13499/04/60;0;64;;06/07/2026;;Neutral;28.05.2026
13499/12/60;0;50;;;;Neutral;28.05.2026
13499/13/60;0;50;;06/07/2026;;Neutral;28.05.2026
13499/21/60;0;0;06/07/2026;04/06/2026;;Neutral;28.05.2026
13499/22/60;0;46;;06/07/2026;;Neutral;28.05.2026
13500/03/65;0;278;;;;Competitive;28.05.2026
13533/81/10;0;80;;;;Competitive;28.05.2026
13533/81/30;0;62;;;;Competitive;28.05.2026
13534/30/31;2;0;;;Dropped out;;28.05.2026
13535/24/31;3;0;;;;Neutral;28.05.2026
13535/34/31;0;0;;;;Neutral;28.05.2026
13536/81/31;1;0;;;Dropped out;;28.05.2026
13541/14/31;0;153;;;;Competitive;28.05.2026
13541/18/31;0;57;;;;Competitive;28.05.2026
13542/30/31;0;81;;;;Competitive;28.05.2026
13543/40/31;0;128;;;;Competitive;28.05.2026
13544/45/36;0;173;;;;Neutral;28.05.2026
13544/50/36;0;223;;;;Neutral;28.05.2026
13544/54/36;0;196;;;;Neutral;28.05.2026
13553/44/31;0;50;;;;Neutral;28.05.2026
13594/04/60;0;257;;;;Premium;28.05.2026
13594/04/62;0;46;;06/07/2026;;Premium;28.05.2026
13594/10/62;0;80;;;;Premium;28.05.2026
13599/01/60;0;433;;06/07/2026;;Neutral;28.05.2026
13599/02/60;0;384;;06/07/2026;;Neutral;28.05.2026
13599/09/60;0;14;;;;Neutral;28.05.2026
13599/11/60;0;500;;;;Neutral;28.05.2026
13794/10/62;0;0;31/08/2026;;New Phase 1;Premium;28.05.2026
13815/02/99;0;20;;04/06/2026;;Competitive;28.05.2026
13816/02/02;0;83;;;;Competitive;28.05.2026
13816/02/30;0;122;;;;Competitive;28.05.2026
13816/02/33;0;3;;;;Competitive;28.05.2026
13955/01/30;0;106;;;;Competitive;28.05.2026
13955/02/30;0;68;;;;Competitive;28.05.2026
13955/03/30;0;48;;;;Competitive;28.05.2026
13955/04/30;0;85;;;;Competitive;28.05.2026
13955/05/03;23;0;;;Dropped out;;28.05.2026
13955/05/12;0;127;;;;Competitive;28.05.2026
13955/05/31;5;0;;;Dropped out;;28.05.2026
13955/10/03;4;0;;;Dropped out;;28.05.2026
13955/10/12;2;89;;;;Competitive;28.05.2026
13955/10/31;12;0;;;Dropped out;;28.05.2026
13955/14/03;10;0;;;Dropped out;;28.05.2026
13955/14/12;0;127;;;;Competitive;28.05.2026
13955/14/31;2;0;;;Dropped out;;28.05.2026
13955/20/12;0;67;;;;Competitive;28.05.2026
13958/01/30;0;51;;04/06/2026;;Competitive;28.05.2026
13958/01/31;0;98;;04/06/2026;;Competitive;28.05.2026
13958/02/30;0;29;13/07/2026;04/06/2026;;Competitive;28.05.2026
13958/02/31;0;62;31/08/2026;13/07/2026;;Competitive;28.05.2026
13958/04/30;0;166;;;;Competitive;28.05.2026
13958/04/31;0;51;;13/07/2026;;Competitive;28.05.2026
13958/13/30;0;59;31/08/2026;;;Competitive;28.05.2026
13958/13/31;0;0;13/07/2026;04/06/2026;;Competitive;28.05.2026
14825/01/30;0;41;;04/06/2026;;Competitive;28.05.2026
14825/02/30;0;67;;;;Competitive;28.05.2026
14827/01/30;0;0;;;Liquidation;Competitive;28.05.2026
14828/02/31;0;0;;;Liquidation;Competitive;28.05.2026
14863/01/12;4;0;;;Dropped out;;28.05.2026
14866/05/12;0;116;;;;Competitive;28.05.2026
14866/05/30;0;72;;22/06/2026;;Competitive;28.05.2026
14866/10/12;0;76;;;;Competitive;28.05.2026
14866/10/30;0;244;;;;Competitive;28.05.2026
14867/05/12;2;154;;;;Competitive;28.05.2026
14867/05/30;0;214;;;;Competitive;28.05.2026
14867/10/12;0;167;;;;Competitive;28.05.2026
14867/11/12;0;233;;;;Competitive;28.05.2026
14867/11/30;0;65;29/06/2026;22/06/2026;;Competitive;28.05.2026
14867/49/12;0;52;;;;Competitive;28.05.2026
14867/49/30;0;101;;;;Competitive;28.05.2026
14868/05/12;0;150;;;;Competitive;28.05.2026
14868/05/30;0;349;;29/06/2026;;Competitive;28.05.2026
14871/01/30;1;0;;;Dropped out;;28.05.2026
14881/05/30;0;100;;;;Competitive;28.05.2026
14881/05/31;0;349;;;;Competitive;28.05.2026
14881/70/30;0;106;;;;Competitive;28.05.2026
14881/70/31;0;100;;;;Competitive;28.05.2026
14892/01/30;3;0;;;Dropped out;;28.05.2026
14893/01/30;0;103;;;;Competitive;28.05.2026
14893/80/30;0;90;;;;Competitive;28.05.2026
14899/01/30;0;60;;;;Competitive;28.05.2026
14899/50/30;0;77;15/09/2026;;;Competitive;28.05.2026
15500/02/30;0;0;;29/06/2026;;Competitive;28.05.2026
15500/02/31;0;0;;29/06/2026;;Competitive;28.05.2026
15500/02/33;0;0;;29/06/2026;;Competitive;28.05.2026
15500/02/53;0;159;;;;Competitive;28.05.2026
15801/10/30;0;195;;;;Competitive;28.05.2026
15802/01/30;0;131;15/08/2026;29/06/2026;;Competitive;28.05.2026
15802/02/30;0;81;;;;Competitive;28.05.2026
15803/01/30;0;48;;29/06/2026;;Competitive;28.05.2026
15804/22/30;0;96;15/08/2026;;;Competitive;28.05.2026
15804/50/30;0;43;;;;Competitive;28.05.2026
15809/09/30;0;104;;;;Competitive;28.05.2026
15810/09/30;0;62;;;;Competitive;28.05.2026
15811/02/30;0;69;;;;Competitive;28.05.2026
15812/02/30;0;70;;;;Competitive;28.05.2026
15813/02/30;0;54;;;;Competitive;28.05.2026
15814/01/30;0;60;;;;Competitive;28.05.2026
15815/01/30;0;61;;;;Competitive;28.05.2026
15816/02/30;0;66;;;;Competitive;28.05.2026
15817/01/30;0;54;;;;Competitive;28.05.2026
15818/01/30;0;51;;;;Competitive;28.05.2026
15820/05/30;0;90;;;;Competitive;28.05.2026
15820/10/30;0;74;;;;Competitive;28.05.2026
15850/05/30;0;62;;;;Competitive;28.05.2026
15850/10/30;0;65;;;;Competitive;28.05.2026
16500/81/70;0;0;;;New Phase 1;Essential;28.05.2026
16501/81/72;0;0;;;New Phase 1;Essential;28.05.2026
16700/81/70;0;0;;;New Phase 1;Vibes;28.05.2026
16701/81/72;0;0;;;New Phase 1;Vibes;28.05.2026
17207/08/31;13;0;;;Dropped out;;28.05.2026
17282/02/12;16;0;;;Dropped out;;28.05.2026
17282/02/31;16;0;;;Dropped out;;28.05.2026
17504/01/03;0;145;;;;Competitive;28.05.2026
17504/01/11;0;48;;;;Competitive;28.05.2026
17804/06/36;2;0;;;Dropped out;;28.05.2026
17906/05/12;2;0;;;Dropped out;;28.05.2026
17993/01/30;0;63;;;;Competitive;28.05.2026
17993/02/30;0;122;;;;Competitive;28.05.2026
17993/03/30;0;90;;;;Competitive;28.05.2026
17993/14/30;0;120;;;;Competitive;28.05.2026
17997/01/66;7;0;;;Dropped out;;28.05.2026
17998/05/30;0;500;;;;Competitive;28.05.2026
17998/10/30;0;396;;;;Competitive;28.05.2026
17998/15/30;0;454;;;;Competitive;28.05.2026
17999/01/30;0;134;;;;Competitive;28.05.2026
17999/02/30;0;128;;;;Competitive;28.05.2026
17999/03/30;0;142;;;;Competitive;28.05.2026
17999/14/30;0;69;;;;Competitive;28.05.2026
18256/03/30;1;116;;;;Competitive;28.05.2026
18293/03/30;0;101;;;;Competitive;28.05.2026
18293/03/31;2;130;;;;Competitive;28.05.2026
18650/03/30;1;424;;;;Competitive;28.05.2026
18650/03/31;0;79;;;;Competitive;28.05.2026
18656/03/30;0;179;;;;Competitive;28.05.2026
18660/05/31;3;0;;;Liquidation;Competitive;28.05.2026
18673/03/30;2;183;;;;Competitive;28.05.2026
18674/06/30;4;26;;;;Competitive;28.05.2026
18756/03/30;0;129;;;;Competitive;28.05.2026
19600/01/30;0;52;31/08/2026;29/06/2026;;Competitive;28.05.2026
19600/01/31;0;41;31/08/2026;;;Competitive;28.05.2026
19666/09/12;0;0;;;Liquidation;Neutral;28.05.2026
19700/01/31;0;47;;;;Competitive;28.05.2026
19730/10/02;0;88;;;;Neutral;28.05.2026
19730/10/11;0;255;;;;Neutral;28.05.2026
19730/10/30;0;162;;;;Neutral;28.05.2026
19730/10/31;0;312;;;;Neutral;28.05.2026
19790/81/30;0;177;;;;Neutral;28.05.2026
19791/20/02;0;53;31/08/2026;22/06/2026;;Competitive;28.05.2026
19791/20/30;0;80;;22/06/2026;;Competitive;28.05.2026
19791/20/31;0;150;;;;Competitive;28.05.2026
19791/24/02;0;129;31/08/2026;;;Competitive;28.05.2026
19791/24/12;1;166;31/08/2026;;;Competitive;28.05.2026
19791/24/30;0;327;31/08/2026;;;Competitive;28.05.2026
19792/24/03;0;345;;;;Competitive;28.05.2026
19792/24/12;2;500;;;;Competitive;28.05.2026
19792/24/30;0;393;;;;Competitive;28.05.2026
20210/01/30;0;0;;;Liquidation;Neutral;28.05.2026
20416/01/65;1;0;;;Dropped out;;28.05.2026
20421/01/02;0;52;;;;Premium;28.05.2026
20421/01/36;0;41;;;;Premium;28.05.2026
20500/05/17;5;0;;;Dropped out;;28.05.2026
20710/01/30;0;0;;;Liquidation;Neutral;28.05.2026
21112/06/30;0;76;;;;Competitive;28.05.2026
21112/08/30;0;117;;;;Competitive;28.05.2026
21117/30/02;0;132;;;;Competitive;28.05.2026
21117/30/30;0;152;;;;Competitive;28.05.2026
21118/04/02;0;85;;;;Competitive;28.05.2026
21118/04/30;0;96;;;;Competitive;28.05.2026
21119/06/02;0;43;;;;Competitive;28.05.2026
21119/06/30;0;106;;;;Competitive;28.05.2026
21120/01/30;0;298;;;;Competitive;28.05.2026
21120/03/30;0;132;;;;Neutral;28.05.2026
21123/01/02;11;0;;;Dropped out;;28.05.2026
21123/02/02;40;0;;;Liquidation;Neutral;28.05.2026
21123/03/02;0;0;;;Liquidation;Neutral;28.05.2026
21123/45/02;0;279;;;;Competitive;28.05.2026
21128/25/02;0;94;;;;Competitive;28.05.2026
21128/25/30;0;75;31/08/2026;;;Competitive;28.05.2026
21128/40/02;0;342;;;;Competitive;28.05.2026
21128/40/30;0;303;;;;Competitive;28.05.2026
21129/40/30;0;106;;;;Competitive;28.05.2026
21133/01/30;0;173;;;;Competitive;28.05.2026
21134/26/30;0;91;;;;Competitive;28.05.2026
21135/01/38;0;74;;;;Neutral;28.05.2026
21139/01/31;0;51;;;;Neutral;28.05.2026
21221/01/30;0;500;;;;Competitive;28.05.2026
21222/01/30;2;0;;;Dropped out;;28.05.2026
21223/01/02;16;0;;;Liquidation;Neutral;28.05.2026
21225/01/30;2;60;;;;Competitive;28.05.2026
21229/18/30;0;87;31/07/2026;;;Competitive;28.05.2026
21234/01/30;0;102;;;;Competitive;28.05.2026
21241/02/62;0;0;31/08/2026;;New Phase 1;Vibes;28.05.2026
21251/02/41;0;0;31/10/2026;;New Phase 1;Vibes;28.05.2026
21251/02/96;0;0;31/10/2026;;New Phase 1;Vibes;28.05.2026
21415/25/30;0;170;;;;Competitive;28.05.2026
21415/25/31;0;65;;;;Competitive;28.05.2026
21417/03/02;0;117;;;;Competitive;28.05.2026
21417/32/02;0;43;;;;Competitive;28.05.2026
21417/32/30;0;53;;;;Competitive;28.05.2026
21417/65/02;0;9;13/07/2026;18/06/2026;;Competitive;28.05.2026
21417/65/30;0;42;;;;Competitive;28.05.2026
21417/99/30;0;44;;;;Competitive;28.05.2026
21421/06/30;2;329;;;;Competitive;28.05.2026
21421/10/30;2;47;;;;Competitive;28.05.2026
21423/45/02;0;43;;;;Competitive;28.05.2026
21423/88/02;0;110;;;;Neutral;28.05.2026
21424/06/30;0;41;31/07/2026;;;Competitive;28.05.2026
21425/03/30;0;9;;30/06/2026;;Neutral;28.05.2026
21427/06/30;0;37;;;;Neutral;28.05.2026
21427/06/31;0;51;;;;Neutral;28.05.2026
21428/03/02;0;73;;;;Competitive;28.05.2026
21428/03/30;0;81;;;;Competitive;28.05.2026
21428/13/02;0;51;;;;Competitive;28.05.2026
21428/13/30;0;56;;;;Competitive;28.05.2026
21428/25/02;0;53;15/08/2026;;;Competitive;28.05.2026
21428/25/30;0;41;;18/06/2026;;Competitive;28.05.2026
21428/40/02;0;131;;;;Competitive;28.05.2026
21428/40/30;0;75;;;;Competitive;28.05.2026
21429/01/30;0;84;;18/06/2026;;Competitive;28.05.2026
21429/03/30;0;62;;;;Essential;28.05.2026
21430/03/61;0;0;;;Liquidation;Neutral;28.05.2026
21432/04/30;0;31;31/07/2026;18/06/2026;;Competitive;28.05.2026
21433/01/30;0;184;31/07/2026;13/07/2026;;Competitive;28.05.2026
21433/03/30;0;120;;18/06/2026;;Competitive;28.05.2026
21433/13/30;0;107;15/08/2026;;;Competitive;28.05.2026
21434/03/30;0;92;;;;Competitive;28.05.2026
21434/13/30;0;67;;;;Competitive;28.05.2026
21434/40/30;0;108;;;;Competitive;28.05.2026
21435/03/38;0;31;15/08/2026;;;Neutral;28.05.2026
21435/13/38;0;43;;;;Neutral;28.05.2026
21435/60/38;0;64;31/07/2026;29/06/2026;;Neutral;28.05.2026
21439/40/31;0;435;;;;Neutral;28.05.2026
21440/03/36;0;60;;;;Vibes;28.05.2026
21440/13/36;0;58;;;;Vibes;28.05.2026
21440/60/36;0;74;;;;Vibes;28.05.2026
21441/01/62;0;51;;;;Vibes;28.05.2026
21441/05/62;0;32;31/08/2026;;;Vibes;28.05.2026
21441/07/62;0;0;;13/07/2026;New Phase 1;Vibes;28.05.2026
21441/10/62;0;18;;30/06/2026;;Vibes;28.05.2026
21441/12/62;0;49;;;;Vibes;28.05.2026
21442/01/10;0;54;30/06/2026;29/06/2026;;Vibes;28.05.2026
21442/03/10;0;35;30/06/2026;29/06/2026;;Vibes;28.05.2026
21442/15/10;0;30;15/08/2026;30/06/2026;;Vibes;28.05.2026
21443/35/33;0;50;30/06/2026;18/06/2026;;Essential;28.05.2026
21443/35/66;0;0;30/06/2026;18/06/2026;;Essential;28.05.2026
21444/38/41;0;32;31/08/2026;18/06/2026;;Essential;28.05.2026
21445/40/30;0;127;;;;Essential;28.05.2026
21445/60/30;0;96;;;;Essential;28.05.2026
21446/03/41;0;44;31/07/2026;13/07/2026;;Essential;28.05.2026
21446/13/41;0;44;31/07/2026;13/07/2026;;Essential;28.05.2026
21446/25/41;0;72;31/07/2026;;;Essential;28.05.2026
21446/40/41;0;55;31/07/2026;13/07/2026;;Essential;28.05.2026
21447/08/96;0;0;31/07/2026;;New Phase 1;Vibes;28.05.2026
21448/01/96;0;0;;13/07/2026;New Phase 1;Vibes;28.05.2026
21448/02/96;0;0;31/10/2026;;New Phase 1;Vibes;28.05.2026
21448/03/96;0;0;31/10/2026;;New Phase 1;Vibes;28.05.2026
21449/40/30;0;0;30/06/2026;18/06/2026;New Phase 2;Essential;28.05.2026
21449/60/30;0;0;30/06/2026;18/06/2026;New Phase 2;Essential;28.05.2026
21450/03/96;0;0;31/08/2026;;New Phase 1;Vibes;28.05.2026
21450/13/96;0;0;31/08/2026;;New Phase 1;Vibes;28.05.2026
21450/40/96;0;0;31/08/2026;;New Phase 1;Vibes;28.05.2026
21450/60/96;0;0;31/08/2026;;New Phase 1;Vibes;28.05.2026
21451/07/41;0;0;31/10/2026;;New Phase 1;Vibes;28.05.2026
21451/07/96;0;0;31/10/2026;;New Phase 1;Vibes;28.05.2026
21451/09/41;0;0;;;New Phase 1;Vibes;28.05.2026
21451/09/96;0;0;;;New Phase 1;Vibes;28.05.2026
21509/25/30;0;137;;;;Neutral;28.05.2026
21521/01/30;0;154;;;;Competitive;28.05.2026
21528/25/02;0;107;;;;Competitive;28.05.2026
21528/25/30;0;120;;;;Competitive;28.05.2026
21529/15/30;0;110;;13/07/2026;;Competitive;28.05.2026
21529/26/30;0;104;;;;Competitive;28.05.2026
21530/01/61;0;0;;;Liquidation;Neutral;28.05.2026
21533/01/30;0;127;;13/07/2026;;Competitive;28.05.2026
21534/15/30;0;47;13/07/2026;29/06/2026;;Competitive;28.05.2026
21721/01/30;0;113;;;;Competitive;28.05.2026
21729/81/30;1;61;;;;Competitive;28.05.2026
21739/12/31;0;85;;;;Neutral;28.05.2026
21739/16/31;0;46;29/06/2026;18/06/2026;;Neutral;28.05.2026
21739/81/31;0;221;;;;Neutral;28.05.2026
21929/01/30;0;60;;13/07/2026;;Competitive;28.05.2026
21929/02/30;0;137;;;;Competitive;28.05.2026
22552/05/02;0;72;31/07/2026;;;Competitive;28.05.2026
22552/05/30;0;107;31/07/2026;;;Competitive;28.05.2026
22552/05/31;0;67;31/07/2026;;;Competitive;28.05.2026
22552/05/41;0;106;;;;Competitive;28.05.2026
22860/10/31;0;377;;;;Competitive;28.05.2026
22861/05/31;0;3;;;Liquidation;Competitive;28.05.2026
22862/04/30;0;257;;;;Competitive;28.05.2026
22863/10/30;0;426;;;;Competitive;28.05.2026
22863/10/31;0;59;;;;Competitive;28.05.2026
22864/10/30;0;384;;;;Competitive;28.05.2026
22864/10/31;0;500;;;;Competitive;28.05.2026
22865/12/30;0;367;;;;Competitive;28.05.2026
22865/12/31;0;347;;;;Competitive;28.05.2026
22952/01/02;0;84;;;;Competitive;28.05.2026
22952/01/31;0;151;15/08/2026;;;Competitive;28.05.2026
22952/02/31;5;132;;;;Competitive;28.05.2026
22952/11/30;0;242;15/08/2026;;;Competitive;28.05.2026
22953/01/02;1;139;;;;Competitive;28.05.2026
22953/01/12;94;0;;;Dropped out;;28.05.2026
22953/01/30;7;112;;;;Competitive;28.05.2026
22953/01/31;0;110;;;;Competitive;28.05.2026
22953/02/30;3;235;;;;Competitive;28.05.2026
22953/02/31;1;179;;;;Competitive;28.05.2026
22954/01/12;8;200;;;;Competitive;28.05.2026
22954/01/30;0;53;31/07/2026;;;Competitive;28.05.2026
22954/01/31;0;96;31/07/2026;;;Competitive;28.05.2026
22955/01/12;2;0;;;Dropped out;;28.05.2026
22955/01/30;0;8;30/09/2026;22/06/2026;;Competitive;28.05.2026
22955/01/31;0;66;;22/06/2026;;Competitive;28.05.2026
22958/01/30;0;158;31/07/2026;;;Competitive;28.05.2026
22959/01/30;0;500;;;;Competitive;28.05.2026
22959/02/30;0;97;;;;Competitive;28.05.2026
22962/01/30;0;212;15/08/2026;;;Competitive;28.05.2026
22962/01/31;0;271;;22/06/2026;;Competitive;28.05.2026
22963/01/30;0;181;30/09/2026;;;Competitive;28.05.2026
22963/01/31;0;217;;;;Competitive;28.05.2026
22966/01/30;3;0;;;Dropped out;;28.05.2026
22966/02/30;4;0;;;Dropped out;;28.05.2026
22966/02/31;30;2;;;Liquidation;Competitive;28.05.2026
22969/24/30;1;0;;;Dropped out;;28.05.2026
22974/01/15;0;462;;;;Competitive;28.05.2026
22974/01/30;0;180;15/08/2026;;;Competitive;28.05.2026
22974/01/41;0;66;15/08/2026;;;Competitive;28.05.2026
22974/02/15;0;222;;;;Competitive;28.05.2026
22974/02/30;0;326;;;;Competitive;28.05.2026
22974/02/41;0;57;;22/06/2026;;Competitive;28.05.2026
22974/13/15;0;234;;;;Competitive;28.05.2026
22974/13/30;0;200;;;;Competitive;28.05.2026
22974/13/41;0;34;15/08/2026;22/06/2026;;Competitive;28.05.2026
22975/01/15;0;148;;22/06/2026;;Competitive;28.05.2026
22975/01/30;0;382;;;;Competitive;28.05.2026
22975/01/31;0;500;;;;Competitive;28.05.2026
22975/01/41;0;0;;;New Phase 1;Essential;28.05.2026
23100/40/15;0;34;;;;Premium;28.05.2026
23100/40/96;0;27;;;;Premium;28.05.2026
23100/60/15;0;25;;;;Premium;28.05.2026
23100/60/96;0;17;31/08/2026;;;Premium;28.05.2026
23101/12/62;0;34;;;;Premium;28.05.2026
23173/01/96;0;49;;13/07/2026;;Premium;28.05.2026
23201/12/62;0;0;;13/07/2026;;Premium;28.05.2026
23208/31/30;3;0;;;Dropped out;;28.05.2026
23252/01/30;0;296;;;;Competitive;28.05.2026
23252/01/31;2;187;30/09/2026;;;Competitive;28.05.2026
23253/01/30;0;210;;;;Competitive;28.05.2026
23253/01/31;1;224;;;;Competitive;28.05.2026
23254/01/30;0;347;31/07/2026;;;Competitive;28.05.2026
23254/01/31;0;245;31/07/2026;;;Competitive;28.05.2026
23272/11/96;0;49;;;;Premium;28.05.2026
23273/01/96;0;66;;;;Premium;28.05.2026
23274/09/15;0;57;;;;Premium;28.05.2026
23274/09/31;0;67;;;;Premium;28.05.2026
23275/04/97;0;34;;;;Premium;28.05.2026
23400/60/15;0;23;15/09/2026;;;Premium;28.05.2026
23400/60/96;0;33;;;;Premium;28.05.2026
23400/80/15;0;36;;;;Premium;28.05.2026
23400/80/96;0;0;;15/06/2026;;Premium;28.05.2026
23401/12/62;0;30;;;;Premium;28.05.2026
23401/60/62;0;13;;15/06/2026;;Premium;28.05.2026
23463/30/30;0;37;15/09/2026;;;Neutral;28.05.2026
23463/30/31;0;43;;;;Neutral;28.05.2026
23463/36/30;0;31;13/07/2026;04/06/2026;;Neutral;28.05.2026
23463/36/31;0;52;;;;Neutral;28.05.2026
23472/36/96;0;51;;;;Premium;28.05.2026
23700/20/15;0;47;;;;Premium;28.05.2026
23700/20/96;0;40;;;;Premium;28.05.2026
23772/18/96;0;36;;;;Premium;28.05.2026
23954/06/30;0;110;;;;Competitive;28.05.2026
23954/06/31;0;25;;;;Competitive;28.05.2026
23954/11/30;0;15;;;;Competitive;28.05.2026
23954/11/31;0;6;;;;Competitive;28.05.2026
23954/21/30;1;58;;;;Competitive;28.05.2026
23954/21/31;0;19;;;;Competitive;28.05.2026
23974/09/15;0;69;;;;Premium;28.05.2026
23974/09/31;0;123;;;;Premium;28.05.2026
23975/05/31;0;148;;;;Premium;28.05.2026
23975/10/31;0;136;;;;Premium;28.05.2026
24105/36/05;0;46;;;;Vibes;28.05.2026
24205/54/05;0;36;;28/05/2026;;Vibes;28.05.2026
24401/21/30;0;0;31/08/2026;;;Neutral;28.05.2026
24401/35/30;1;55;;;;Neutral;28.05.2026
24402/15/30;0;58;;;;Neutral;28.05.2026
24402/15/96;0;60;;29/06/2026;;Neutral;28.05.2026
